=Opal14       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=Opal15       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=Opal20       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=Opal21       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = CEEX2   IFIoff           =
=ALEPH-12     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=ALEPH-15     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=DELPHI9      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=DELPHI12     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=LT15         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=LT18         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Opal14       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Opal15       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Opal20       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=Opal21       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX2                     =
=ALEPH-12     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=ALEPH-15     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=DELPHI9      =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=DELPHI12     =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=LT15         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=LT18         =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=Opal14       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=Opal15       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=Opal20       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=Opal21       =   KKMC 4.14  =S= 206.00=     0.0000000=     0.0000000=     0.0000000=pb       =pb       = EEX3                     =
=IAleph5      =   KKMC 4.14  =A= 206.00=     0.2986800=     0.0007812=     0.0200000=         =         = Minv, IFIon              =
=IAleph6      =   KKMC 4.14  =A= 206.00=     0.5551759=     0.0018463=     0.0200000=         =         = Minv, IFIon              =
=IDelphi5     =   KKMC 4.14  =A= 206.00=     0.3199179=     0.0008356=     0.0200000=         =         = Minv, IFIon              =
=IDelphi6     =   KKMC 4.14  =A= 206.00=     0.5526315=     0.0017639=     0.0200000=         =         = Minv, IFIon              =
=ILT9         =   KKMC 4.14  =A= 206.00=     0.3148760=     0.0008559=     0.0200000=         =         = Minv, IFIon              =
=ILT10        =   KKMC 4.14  =A= 206.00=     0.5357427=     0.0017588=     0.0200000=         =         = Minv, IFIon              =
=ILT11        =   KKMC 4.14  =A= 206.00=     0.5696391=     0.0017948=     0.0200000=         =         = Minv, IFIon              =
=IAleph5      =   KKMC 4.14  =A= 206.00=     0.2944217=     0.0006930=     0.0200000=         =         = Minv, IFIoff             =
=IAleph6      =   KKMC 4.14  =A= 206.00=     0.5368617=     0.0016298=     0.0200000=         =         = Minv, IFIoff             =
=IDelphi5     =   KKMC 4.14  =A= 206.00=     0.3143307=     0.0007405=     0.0200000=         =         = Minv, IFIoff             =
=IDelphi6     =   KKMC 4.14  =A= 206.00=     0.5372597=     0.0015563=     0.0200000=         =         = Minv, IFIoff             =
=ILT9         =   KKMC 4.14  =A= 206.00=     0.3099064=     0.0007677=     0.0200000=         =         = Minv, IFIoff             =
=ILT10        =   KKMC 4.14  =A= 206.00=     0.5216756=     0.0015728=     0.0200000=         =         = Minv, IFIoff             =
=ILT11        =   KKMC 4.14  =A= 206.00=     0.5516069=     0.0015405=     0.0200000=         =         = Minv, IFIoff             =
=IAleph5      =   KKMC 4.14  =A= 206.00=     0.2963046=     0.0006960=     0.0200000=         =         = Minv, EEX3               =
=IAleph6      =   KKMC 4.14  =A= 206.00=     0.5368799=     0.0016300=     0.0200000=         =         = Minv, EEX3               =
=IDelphi5     =   KKMC 4.14  =A= 206.00=     0.3160525=     0.0007433=     0.0200000=         =         = Minv, EEX3               =
=IDelphi6     =   KKMC 4.14  =A= 206.00=     0.5373028=     0.0015566=     0.0200000=         =         = Minv, EEX3               =
=ILT9         =   KKMC 4.14  =A= 206.00=     0.3114910=     0.0007704=     0.0200000=         =         = Minv, EEX3               =
=ILT10        =   KKMC 4.14  =A= 206.00=     0.5217172=     0.0015731=     0.0200000=         =         = Minv, EEX3               =
=ILT11        =   KKMC 4.14  =A= 206.00=     0.5516526=     0.0015408=     0.0200000=         =         = Minv, EEX3               =
=IAleph5      =   KKMC 4.14  =A= 206.00=     0.2962864=     0.0006959=     0.0200000=         =         = Minv, EEX2               =
=IAleph6      =   KKMC 4.14  =A= 206.00=     0.5368804=     0.0016299=     0.0200000=         =         = Minv, EEX2               =
=IDelphi5     =   KKMC 4.14  =A= 206.00=     0.3160864=     0.0007434=     0.0200000=         =         = Minv, EEX2               =
=IDelphi6     =   KKMC 4.14  =A= 206.00=     0.5373032=     0.0015565=     0.0200000=         =         = Minv, EEX2               =
=ILT9         =   KKMC 4.14  =A= 206.00=     0.3115223=     0.0007705=     0.0200000=         =         = Minv, EEX2               =
=ILT10        =   KKMC 4.14  =A= 206.00=     0.5217176=     0.0015731=     0.0200000=         =         = Minv, EEX2               =
=ILT11        =   KKMC 4.14  =A= 206.00=     0.5516532=     0.0015408=     0.0200000=         =         = Minv, EEX2               =
=IOpal6       =   KKMC 4.14  =A= 206.00=     0.2941443=     0.0006923=     0.0200000=         =         = Mprop-, IFIoff           =
=IOpal7       =   KKMC 4.14  =A= 206.00=     0.2832710=     0.0006486=     0.0200000=         =         = Mprop-, IFIoff           =
=IOpal8       =   KKMC 4.14  =A= 206.00=     0.5368326=     0.0014895=     0.0200000=         =         = Mprop-, IFIoff           =
=IOpal9       =   KKMC 4.14  =A= 206.00=     0.5512183=     0.0014744=     0.0200000=         =         = Mprop-, IFIoff           =
=IOpal6       =   KKMC 4.14  =A= 206.00=     0.2960190=     0.0006953=     0.0200000=         =         = Mprop-, EEX3             =
=IOpal7       =   KKMC 4.14  =A= 206.00=     0.2855685=     0.0006518=     0.0200000=         =         = Mprop-, EEX3             =
=IOpal8       =   KKMC 4.14  =A= 206.00=     0.5368934=     0.0014909=     0.0200000=         =         = Mprop-, EEX3             =
=IOpal9       =   KKMC 4.14  =A= 206.00=     0.5512792=     0.0014757=     0.0200000=         =         = Mprop-, EEX3             =
=IOpal6       =   KKMC 4.14  =A= 206.00=     0.2959812=     0.0006951=     0.0200000=         =         = Mprop-, EEX2             =
=IOpal7       =   KKMC 4.14  =A= 206.00=     0.2855551=     0.0006517=     0.0200000=         =         = Mprop-, EEX2             =
=IOpal8       =   KKMC 4.14  =A= 206.00=     0.5368942=     0.0014909=     0.0200000=         =         = Mprop-, EEX2             =
=IOpal9       =   KKMC 4.14  =A= 206.00=     0.5512801=     0.0014758=     0.0200000=         =         = Mprop-, EEX2             =
=Aleph5       =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2                    =
=Aleph6       =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2                    =
=Delphi4      =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2                    =
=Delphi5      =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2                    =
=LT9          =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2                    =
=LT10         =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2                    =
=Opal6        =   KKMC 4.14  =A= 206.00=     1.0000000=     0.0008388=     0.0200000=         =         = CEEX2                    =
=Opal7        =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2                    =
=Aleph5       =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2   IFIoff           =
=Aleph6       =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2   IFIoff           =
=Delphi4      =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2   IFIoff           =
=Delphi5      =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2   IFIoff           =
=LT9          =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2   IFIoff           =
=LT10         =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2   IFIoff           =
=Opal6        =   KKMC 4.14  =A= 206.00=     1.0000000=     0.0008388=     0.0200000=         =         = CEEX2   IFIoff           =
=Opal7        =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = CEEX2   IFIoff           =
=Aleph5       =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX2                     =
=Aleph6       =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX2                     =
=Delphi4      =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX2                     =
=Delphi5      =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX2                     =
=LT9          =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX2                     =
=LT10         =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX2                     =
=Opal6        =   KKMC 4.14  =A= 206.00=     1.0000000=     0.0008431=     0.0200000=         =         = EEX2                     =
=Opal7        =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX2                     =
=Aleph5       =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX3                     =
=Aleph6       =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX3                     =
=Delphi4      =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX3                     =
=Delphi5      =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX3                     =
=LT9          =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX3                     =
=LT10         =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX3                     =
=Opal6        =   KKMC 4.14  =A= 206.00=     1.0000000=     0.0008432=     0.0200000=         =         = EEX3                     =
=Opal7        =   KKMC 4.14  =A= 206.00=     0.0000000=     0.0000000=     0.0200000=         =         = EEX3                     =
